case,w_hat,rho,delta_HU,rho_struct,s,verdict,violated,laa_ref,laa_rec,laa_thick,p15_ref_HU,p15_rec_HU,psnr,laa910_ref,laa910_rec,laa910_thick,p10_ref_HU,p10_rec_HU,p05_ref_HU,p05_rec_HU
CT00000100_thin.npy,6.25,0.0,-2.1889449562877417,0.27004164457321167,1.028,certified,,0.07752789556980133,0.026249602437019348,0.0,-873.0000257492065,-866.388738155365,28.171833038330078,1.888140082359314,0.6678387522697449,0.0,-882.0000290870667,-873.8405704498291,-894.9999809265137,-884.5846652984619
CT00000101_thin.npy,6.25,0.0,-2.1741336677223444,0.13455648720264435,1.519,certified,,0.00249486998654902,0.07048007845878601,0.0,-879.9999952316284,-876.76602602005,28.282272338867188,0.8226833343505859,1.564907193183899,0.0,-884.9999904632568,-883.8778734207153,-893.999993801117,-894.3166732788086
CT00000102_thin.npy,6.25,0.0,-1.0579695226624608,0.2694045305252075,1.878,certified,,1.1328332424163818,1.3415772914886475,0.0,-921.999990940094,-919.988214969635,28.79808807373047,29.196701049804688,26.473262786865234,7.804098129272461,-927.9999732971191,-925.9809255599976,-935.9999895095825,-935.0413680076599
CT00000103_thin.npy,6.25,0.0,-1.189052709378302,0.3291800618171692,1.696,certified,,0.2930331230163574,0.7356352806091309,0.0,-916.0000085830688,-913.9003157615662,28.864826202392578,22.167346954345703,19.034944534301758,1.2496641874313354,-921.0000038146973,-919.7619557380676,-929.0000200271606,-928.7008047103882
CT00000104_thin.npy,6.25,0.0,-1.0303979506716132,0.37678098678588867,1.77,certified,,0.13735425472259521,0.1916854828596115,0.0,-904.9999713897705,-900.8881449699402,30.942153930664062,10.125755310058594,7.5959954261779785,0.027470849454402924,-911.0000133514404,-906.4810872077942,-919.0000295639038,-915.0177240371704
CT00000105_thin.npy,6.25,0.0,-1.795444986782968,0.25022390484809875,1.862,certified,,0.499587744474411,1.023605227470398,0.0,-916.9999957084656,-916.7223572731018,28.515119552612305,22.417930603027344,22.50832176208496,2.586496591567993,-921.999990940094,-922.5886464118958,-930.0000071525574,-931.450366973877
CT00000106_thin.npy,6.25,0.0,-1.6233586939051747,0.33768558502197266,0.964,certified,,0.10009765625,0.084228515625,0.0,-887.0000243186951,-882.3868036270142,28.631288528442383,3.182373046875,2.1051025390625,0.0,-893.999993801117,-888.9882564544678,-903.9999842643738,-898.8627195358276
CT00000107_thin.npy,6.25,0.0,-2.9094961937516928,0.16352424025535583,1.702,certified,,1.3257447481155396,0.47665148973464966,0.0,-912.0000004768372,-904.7389030456543,28.697967529296875,15.850357055664062,10.94880199432373,0.29104721546173096,-919.0000295639038,-911.4681482315063,-930.9999942779541,-921.4455485343933
CT00000108_thin.npy,6.25,0.0,-1.4410285511985421,0.2378339171409607,1.434,certified,,0.3363037109375,0.4962158203125,0.0,-906.000018119812,-902.6749134063721,28.46434783935547,11.21826171875,9.468994140625,0.189208984375,-912.0000004768372,-909.1759324073792,-921.999990940094,-919.3690419197083
CT00000109_thin.npy,6.25,0.0,-0.929837697185576,0.27210748195648193,0.768,certified,,0.1983642578125,0.5157470703125,0.0,-901.0000228881836,-901.7972350120544,27.94622230529785,8.409423828125,9.37744140625,0.2734375,-907.9999923706055,-908.8969826698303,-917.9999828338623,-919.712483882904
CT00000110_thin.npy,6.25,0.0,-0.5217764992266893,0.23450607061386108,1.21,certified,,0.0238037109375,0.0469970703125,0.0,-875.0,-870.4741597175598,26.553237915039062,1.3519287109375,1.0662841796875,0.0,-883.0000162124634,-878.0139088630676,-893.999993801117,-889.109194278717
CT00000111_thin.npy,6.25,0.0,-1.1342077050358057,0.2759646773338318,0.625,certified,,0.010376609861850739,0.020753219723701477,0.0,-853.9999723434448,-847.5245833396912,27.251522064208984,0.5072330832481384,0.23316852748394012,0.0,-862.9999756813049,-855.8082580566406,-876.9999742507935,-868.0692911148071
CT00000112_thin.npy,6.25,0.0,-0.6793917273171246,0.27411961555480957,1.83,certified,,0.4359826147556305,0.25218603014945984,0.0,-908.9999794960022,-901.9148945808411,29.05847930908203,13.595452308654785,8.541961669921875,0.04823897406458855,-915.0000214576721,-907.8686833381653,-925.000011920929,-916.8443083763123
CT00000113_thin.npy,6.25,0.0,-1.476049656048417,0.27300018072128296,0.666,certified,,0.03174234926700592,0.11231908202171326,0.0,-878.000020980835,-877.0372867584229,28.485118865966797,1.8770716190338135,1.906982660293579,0.002441719174385071,-885.9999775886536,-884.7544193267822,-897.0000147819519,-896.292507648468
CT00000114_thin.npy,6.25,0.0,-1.1223843321204185,0.3054184913635254,1.513,certified,,0.6144036650657654,0.28643670678138733,0.0,-907.9999923706055,-900.8168578147888,28.480880737304688,12.839570999145508,8.262080192565918,0.06595984101295471,-915.0000214576721,-907.2349071502686,-925.000011920929,-916.7487025260925
CT00000115_thin.npy,6.25,0.0,-1.4753923751413822,0.3515561521053314,1.339,certified,,1.0162353515625,0.286865234375,0.0,-913.9999747276306,-903.0511975288391,28.97405433654785,18.026123046875,9.2889404296875,0.0244140625,-921.0000038146973,-908.9793562889099,-931.9999814033508,-917.8931713104248
CT00000116_thin.npy,6.25,0.0,-0.8931757183745503,0.30805182456970215,1.559,certified,,0.5694580078125,0.39794921875,0.0,-912.0000004768372,-906.1926007270813,27.824602127075195,16.099853515625,11.7669677734375,0.2117919921875,-917.9999828338623,-912.3756289482117,-927.9999732971191,-921.5649962425232
CT00000117_thin.npy,6.25,0.0,-0.13446068624034524,0.2569738030433655,1.673,certified,,0.5780029296875,0.13427734375,0.0,-897.0000147819519,-890.8205032348633,28.908674240112305,7.8753662109375,4.4219970703125,0.0732421875,-906.000018119812,-897.9333639144897,-917.9999828338623,-908.27876329422
CT00000118_thin.npy,6.25,0.0,0.5138683482073247,0.23569168150424957,0.841,certified,,0.0,0.007327438797801733,0.0,-818.0000185966492,-813.1329417228699,26.230121612548828,0.03663719445466995,0.05984074994921684,0.0,-828.000009059906,-822.4838376045227,-842.9999947547913,-836.4789485931396
CT00000119_thin.npy,6.25,0.0,-0.6999708712100983,0.27221888303756714,0.698,certified,,0.03173866868019104,0.005493231117725372,0.0,-824.999988079071,-818.7025189399719,28.355350494384766,0.1611347794532776,0.03173866868019104,0.0,-833.9999914169312,-826.3863921165466,-847.9999899864197,-838.005781173706
CT00000120_thin.npy,6.25,0.0,-0.21397153614088893,0.2811748683452606,1.169,certified,,0.5144246816635132,0.5944598317146301,0.0,-912.9999876022339,-908.7503552436829,27.270687103271484,17.531984329223633,13.891298294067383,0.875499427318573,-919.0000295639038,-915.0719046592712,-927.9999732971191,-924.6224761009216
CT00000121_thin.npy,6.25,0.0,-1.1620610021054745,0.2778417766094208,-0.098,certified,,0.08061068505048752,0.07816793769598007,0.0,-871.999979019165,-868.8709735870361,26.595003128051758,1.6916030645370483,1.292213797569275,0.0,-880.9999823570251,-876.9434690475464,-893.999993801117,-889.1385197639465
CT00000122_thin.npy,6.25,0.0,-1.9922410137951374,0.31061577796936035,1.367,certified,,1.0089111328125,0.9625244140625,0.0,-920.0000166893005,-915.2378439903259,28.26584815979004,26.05224609375,20.450439453125,2.532958984375,-925.9999990463257,-921.3710427284241,-935.0000023841858,-930.6621551513672
CT00000123_thin.npy,6.25,0.0,-0.045866599975852296,0.10610314458608627,2.251,flagged,tail_recovery,0.11810671538114548,0.10597683489322662,0.0,-892.0000195503235,-888.9468312263489,28.799707412719727,4.524445056915283,3.4104113578796387,0.009576220065355301,-898.9999890327454,-895.4477906227112,-908.9999794960022,-905.2006602287292
CT00000124_thin.npy,6.25,0.0,-1.9350613001734018,0.2969960570335388,1.633,certified,,2.459947347640991,2.075294256210327,0.0,-929.0000200271606,-925.2053499221802,28.821020126342773,37.334537506103516,34.292118072509766,13.000658988952637,-934.0000152587891,-931.0598969459534,-943.0000185966492,-939.7943615913391
CT00000125_thin.npy,6.25,0.0,-2.027312060818076,0.3303685486316681,1.218,certified,,0.2783203125,0.3863525390625,0.0,-903.9999842643738,-903.5996794700623,30.266212463378906,10.447998046875,10.166015625,0.65185546875,-911.0000133514404,-910.2388620376587,-921.0000038146973,-919.9977517127991
CT00000126_thin.npy,6.25,0.0,-0.9301323443651199,0.14335189759731293,2.445,flagged,tail_recovery,3.591671943664551,2.3669848442077637,0.0,-930.9999942779541,-927.0890951156616,28.423612594604492,39.43281555175781,37.68034362792969,20.039770126342773,-936.9999766349792,-932.8952431678772,-947.0000267028809,-941.5685534477234
CT00000127_thin.npy,6.25,0.0,-1.2568588135764003,0.18786315619945526,1.39,certified,,0.03437354043126106,0.08163715898990631,0.0,-882.0000290870667,-877.9454827308655,28.132631301879883,2.0814406871795654,1.9519261121749878,0.0024552529212087393,-888.9999985694885,-885.3499293327332,-898.9999890327454,-896.6165781021118
CT00000128_thin.npy,6.25,0.0,-2.574862213805318,0.2674880623817444,1.562,certified,,0.9100341796875,0.4901123046875,0.0,-912.0000004768372,-905.9574604034424,27.90754508972168,16.295166015625,11.6748046875,0.3271484375,-919.0000295639038,-912.3169183731079,-930.0000071525574,-921.9284653663635
CT00000129_thin.npy,6.25,0.0,-2.612404292449355,0.14714443683624268,1.39,certified,,0.08491016179323196,0.014254990965127945,0.0,-861.0000014305115,-851.9393801689148,27.818954467773438,1.0474319458007812,0.3018339276313782,0.0,-870.0000047683716,-859.712541103363,-884.0000033378601,-871.2875843048096
