case,z,y,x,lung,delta,dc,fab,era
CT00000100,80,128,0,0.441204833984375,-6.146448664367199,0.059460632503032684,0,0
CT00000100,80,128,64,0.99586181640625,1.9282761495560408,0.13260099291801453,0,1
CT00000100,80,128,128,0.478387451171875,0.429456471465528,0.05930846557021141,0,2
CT00000100,80,128,256,0.94869384765625,0.7113543106243014,0.10668244957923889,1,1
CT00000100,80,192,64,0.909625244140625,-0.8637282298877835,0.06540378928184509,1,2
CT00000100,80,192,128,0.62349853515625,-4.579414613544941,0.044540952891111374,0,0
CT00000100,80,192,192,0.39576416015625,-5.307918414473534,0.04379745200276375,0,0
CT00000100,80,192,256,0.9197021484375,-0.5725121591240168,0.07256878912448883,0,3
CT00000100,120,0,64,0.524078369140625,-1.72554946038872,0.035089366137981415,0,0
CT00000100,120,0,256,0.295709228515625,-2.1623442880809307,0.044394299387931824,0,0
CT00000100,120,64,0,0.51754150390625,-5.971010774374008,0.059252072125673294,1,1
CT00000100,120,64,64,0.9971435546875,0.9934967383742332,0.15902327001094818,0,0
CT00000100,120,64,256,0.652447509765625,0.6221486255526543,0.04293171316385269,0,0
CT00000100,120,128,0,0.558721923828125,-5.585414357483387,0.05385778844356537,2,0
CT00000100,120,128,64,0.997747802734375,0.7232268690131605,0.13149116933345795,0,1
CT00000100,120,128,128,0.604638671875,-0.673969101626426,0.0601494275033474,0,1
CT00000100,120,128,256,0.938787841796875,0.7727493066340685,0.07351387292146683,0,1
CT00000100,120,192,64,0.927008056640625,-1.1243136832490563,0.0827254205942154,2,1
CT00000100,120,192,128,0.52320556640625,-5.974956788122654,0.04791787639260292,0,1
CT00000100,120,192,192,0.479058837890625,-6.102839019149542,0.04368007183074951,0,2
CT00000100,120,192,256,0.929443359375,-0.8616549894213676,0.08385682851076126,2,1
CT00000100,160,0,64,0.31251220703125,-1.0661690030246973,0.045162223279476166,0,0
CT00000100,160,0,256,0.20601806640625,-1.0336438426747918,0.04255157709121704,0,0
CT00000100,160,64,0,0.235882568359375,-5.017293617129326,0.08127100765705109,0,0
CT00000100,160,64,256,0.43499755859375,-0.6493064574897289,0.06216167286038399,0,1
CT00000100,160,128,0,0.37828369140625,-4.812387283891439,0.07168859243392944,2,1
CT00000100,160,128,64,0.460101318359375,-0.997000141069293,0.05375662073493004,0,0
CT00000100,160,128,128,0.4716552734375,-0.45347449486143887,0.038440145552158356,2,3
