case,w_hat,rho,delta_HU,rho_struct,s,verdict,violated,laa_ref,laa_rec,laa_thick,p15_ref_HU,p15_rec_HU,psnr,laa910_ref,laa910_rec,laa910_thick,p10_ref_HU,p10_rec_HU,p05_ref_HU,p05_rec_HU
CT00000100_thin.npy,6.25,0.0,-2.279147272929549,0.26733580231666565,1.355,certified,,0.07752789556980133,0.017092764377593994,0.0,-873.0000257492065,-865.654706954956,28.29964828491211,1.888140082359314,0.5726076364517212,0.0,-882.0000290870667,-872.9625344276428,-894.9999809265137,-883.4877610206604
CT00000101_thin.npy,6.25,0.0,-2.294479636475444,0.133842334151268,1.823,certified,,0.00249486998654902,0.058629442006349564,0.0,-879.9999952316284,-876.0439157485962,28.388721466064453,0.8226833343505859,1.3547143936157227,0.0,-884.9999904632568,-882.9355835914612,-893.999993801117,-893.1103944778442
CT00000102_thin.npy,6.25,0.0,-1.1221453314647079,0.26711535453796387,2.123,flagged,tail_recovery,1.1328332424163818,1.1718964576721191,0.0,-921.999990940094,-919.3612337112427,28.896329879760742,29.196701049804688,25.93858528137207,7.804098129272461,-927.9999732971191,-925.2236485481262,-935.9999895095825,-934.064507484436
CT00000103_thin.npy,6.25,0.0,-1.2520024320110679,0.32705995440483093,1.915,certified,,0.2930331230163574,0.6330736875534058,0.0,-916.0000085830688,-913.3287668228149,28.974594116210938,22.167346954345703,18.48550796508789,1.2496641874313354,-921.0000038146973,-919.0477728843689,-929.0000200271606,-927.740216255188
CT00000104_thin.npy,6.25,0.0,-1.0857228189706802,0.37420743703842163,1.988,certified,,0.13735425472259521,0.15505768358707428,0.0,-904.9999713897705,-900.3108739852905,31.062307357788086,10.125755310058594,7.1106767654418945,0.027470849454402924,-911.0000133514404,-905.7607650756836,-919.0000295639038,-914.0284061431885
CT00000105_thin.npy,6.25,0.0,-1.8940193112939596,0.24881629645824432,2.117,flagged,tail_recovery,0.499587744474411,0.8727517127990723,0.0,-916.9999957084656,-916.0889983177185,28.63750457763672,22.417930603027344,21.89208221435547,2.586496591567993,-921.999990940094,-921.7739701271057,-930.0000071525574,-930.4120540618896
CT00000106_thin.npy,6.25,0.0,-1.6854747664183378,0.33592602610588074,1.252,certified,,0.10009765625,0.064697265625,0.0,-887.0000243186951,-881.6852569580078,28.735544204711914,3.182373046875,1.829833984375,0.0,-893.999993801117,-888.1192803382874,-903.9999842643738,-897.736668586731
CT00000107_thin.npy,6.25,0.0,-2.973923459649086,0.16252455115318298,1.956,certified,,1.3257447481155396,0.4032730460166931,0.0,-912.0000004768372,-904.0921330451965,28.80661392211914,15.850357055664062,10.455501556396484,0.29104721546173096,-919.0000295639038,-910.6813669204712,-930.9999942779541,-920.4443097114563
CT00000108_thin.npy,6.25,0.0,-1.5270726289600134,0.23631247878074646,1.71,certified,,0.3363037109375,0.4071044921875,0.0,-906.000018119812,-901.9879102706909,28.559358596801758,11.21826171875,8.9581298828125,0.189208984375,-912.0000004768372,-908.3746075630188,-921.999990940094,-918.2476997375488
CT00000109_thin.npy,6.25,0.0,-1.0054612066596746,0.2698656916618347,1.068,certified,,0.1983642578125,0.4412841796875,0.0,-901.0000228881836,-901.0869860649109,28.046873092651367,8.409423828125,8.86474609375,0.2734375,-907.9999923706055,-908.0454707145691,-917.9999828338623,-918.5537695884705
CT00000110_thin.npy,6.25,0.0,-0.6735101924277842,0.23385772109031677,1.588,certified,,0.0238037109375,0.03173828125,0.0,-875.0,-869.5716261863708,26.69088363647461,1.3519287109375,0.9063720703125,0.0,-883.0000162124634,-876.976728439331,-893.999993801117,-887.7437114715576
CT00000111_thin.npy,6.25,0.0,-1.2942597968503833,0.27209019660949707,0.981,certified,,0.010376609861850739,0.0158701092004776,0.0,-853.9999723434448,-846.6084003448486,27.371726989746094,0.5072330832481384,0.18189586699008942,0.0,-862.9999756813049,-854.7651767730713,-876.9999742507935,-866.7098879814148
CT00000112_thin.npy,6.25,0.0,-0.7711386424489319,0.2730792462825775,2.073,flagged,tail_recovery,0.4359826147556305,0.19661961495876312,0.0,-908.9999794960022,-901.2944102287292,29.159738540649414,13.595452308654785,8.063236236572266,0.04823897406458855,-915.0000214576721,-907.0956707000732,-925.000011920929,-915.829598903656
CT00000113_thin.npy,6.25,0.0,-1.5651748981326818,0.27037501335144043,1.031,certified,,0.03174234926700592,0.09217490255832672,0.0,-878.000020980835,-876.2781620025635,28.602266311645508,1.8770716190338135,1.7049304246902466,0.002441719174385071,-885.9999775886536,-883.8293552398682,-897.0000147819519,-895.0779438018799
CT00000114_thin.npy,6.25,0.0,-1.1869680602103472,0.3028983175754547,1.79,certified,,0.6144036650657654,0.22658425569534302,0.0,-907.9999923706055,-900.1808166503906,28.58005714416504,12.839570999145508,7.807079792022705,0.06595984101295471,-915.0000214576721,-906.503438949585,-925.000011920929,-915.7137274742126
CT00000115_thin.npy,6.25,0.0,-1.5393346548080444,0.34975358843803406,1.602,certified,,1.0162353515625,0.2288818359375,0.0,-913.9999747276306,-902.420163154602,29.04054832458496,18.026123046875,8.7164306640625,0.0244140625,-921.0000038146973,-908.2098603248596,-931.9999814033508,-916.8597459793091
CT00000116_thin.npy,6.25,0.0,-0.9813935030251741,0.3060993254184723,1.811,certified,,0.5694580078125,0.3411865234375,0.0,-912.0000004768372,-905.5893421173096,27.921119689941406,16.099853515625,11.21826171875,0.2117919921875,-917.9999828338623,-911.643385887146,-927.9999732971191,-920.5861687660217
CT00000117_thin.npy,6.25,0.0,-0.20264876366127282,0.25550946593284607,1.901,certified,,0.5780029296875,0.1104736328125,0.0,-897.0000147819519,-890.2513980865479,29.0491943359375,7.8753662109375,4.1162109375,0.0732421875,-906.000018119812,-897.293746471405,-917.9999828338623,-907.3678851127625
CT00000118_thin.npy,6.25,0.0,0.3293802437838167,0.2322438508272171,1.241,certified,,0.0,0.0061061992309987545,0.0,-818.0000185966492,-812.0437860488892,26.390399932861328,0.03663719445466995,0.048849593847990036,0.0,-828.000009059906,-821.2465047836304,-842.9999947547913,-834.8850607872009
CT00000119_thin.npy,6.25,0.0,-0.8539478294551373,0.2682582437992096,1.087,certified,,0.03173866868019104,0.0024414360523223877,0.0,-824.999988079071,-817.7480697631836,28.526355743408203,0.1611347794532776,0.022583283483982086,0.0,-833.9999914169312,-825.2422213554382,-847.9999899864197,-836.5037441253662
CT00000120_thin.npy,6.25,0.0,-0.3269545268267393,0.27941277623176575,1.454,certified,,0.5144246816635132,0.4905973970890045,0.0,-912.9999876022339,-908.069372177124,27.383241653442383,17.531984329223633,13.286452293395996,0.875499427318573,-919.0000295639038,-914.2826199531555,-927.9999732971191,-923.5907196998596
CT00000121_thin.npy,6.25,0.0,-1.2767298612743616,0.27391132712364197,0.307,certified,,0.08061068505048752,0.06045801565051079,0.0,-871.999979019165,-867.9903149604797,26.736631393432617,1.6916030645370483,1.1206107139587402,0.0,-880.9999823570251,-875.8522272109985,-893.999993801117,-887.8012299537659
CT00000122_thin.npy,6.25,0.0,-2.0819709170609713,0.3086576461791992,1.626,certified,,1.0089111328125,0.8282470703125,0.0,-920.0000166893005,-914.6287441253662,28.35951042175293,26.05224609375,19.849853515625,2.532958984375,-925.9999990463257,-920.6206798553467,-935.0000023841858,-929.6261072158813
CT00000123_thin.npy,6.25,0.0,-0.15894747048150748,0.10479814559221268,2.523,flagged,tail_recovery,0.11810671538114548,0.08490915596485138,0.0,-892.0000195503235,-888.3332014083862,28.922082901000977,4.524445056915283,3.0912039279937744,0.009576220065355301,-898.9999890327454,-894.679069519043,-908.9999794960022,-904.2248725891113
CT00000124_thin.npy,6.25,0.0,-1.996343256905675,0.2952880859375,1.858,certified,,2.459947347640991,1.8341230154037476,0.0,-929.0000200271606,-924.5992302894592,28.888511657714844,37.334537506103516,33.88853454589844,13.000658988952637,-934.0000152587891,-930.310308933258,-943.0000185966492,-938.7879371643066
CT00000125_thin.npy,6.25,0.0,-2.090665977448225,0.32804957032203674,1.479,certified,,0.2783203125,0.3155517578125,0.0,-903.9999842643738,-902.9346108436584,30.417604446411133,10.447998046875,9.6533203125,0.65185546875,-911.0000133514404,-909.4769358634949,-921.0000038146973,-919.0147519111633
CT00000126_thin.npy,6.25,0.0,-1.0123382089659572,0.14275631308555603,2.67,flagged,tail_recovery,3.591671943664551,2.100613832473755,0.0,-930.9999942779541,-926.5146851539612,28.494531631469727,39.43281555175781,37.32415008544922,20.039770126342773,-936.9999766349792,-932.1560859680176,-947.0000267028809,-940.5879378318787
CT00000127_thin.npy,6.25,0.0,-1.3723688898608088,0.18642660975456238,1.7,certified,,0.03437354043126106,0.06383658200502396,0.0,-882.0000290870667,-877.2290945053101,28.237865447998047,2.0814406871795654,1.7462986707687378,0.0024552529212087393,-888.9999985694885,-884.4788074493408,-898.9999890327454,-895.4940438270569
CT00000128_thin.npy,6.25,0.0,-2.634671051055193,0.2660720944404602,1.809,certified,,0.9100341796875,0.401611328125,0.0,-912.0000004768372,-905.3152203559875,28.001014709472656,16.295166015625,11.1309814453125,0.3271484375,-919.0000295639038,-911.5483164787292,-930.0000071525574,-920.8959937095642
CT00000129_thin.npy,6.25,0.0,-2.7863390278071165,0.14567367732524872,1.737,certified,,0.08491016179323196,0.01177586242556572,0.0,-861.0000014305115,-851.1051535606384,27.942394256591797,1.0474319458007812,0.24419419467449188,0.0,-870.0000047683716,-858.6964011192322,-884.0000033378601,-869.9913620948792
CT00000130_thin.npy,6.25,0.0,-2.3110646288841963,0.3341695964336395,1.739,certified,,0.1129150390625,0.260009765625,0.0,-907.0000052452087,-904.011607170105,29.30072021484375,11.329345703125,9.986572265625,0.10009765625,-912.0000004768372,-909.9767804145813,-920.0000166893005,-918.9693927764893
CT00000131_thin.npy,6.25,0.0,-0.706927094142884,0.28953132033348083,1.296,certified,,0.1800537109375,0.1556396484375,0.0,-902.0000100135803,-896.5991735458374,27.016834259033203,8.9971923828125,6.136474609375,0.020751953125,-908.9999794960022,-903.0213356018066,-917.9999828338623,-912.6598238945007
CT00000132_thin.npy,6.25,0.0,-2.744944766163826,0.141391783952713,2.051,flagged,tail_recovery,0.18594388663768768,0.023552890866994858,0.0,-870.9999918937683,-859.7998023033142,26.531902313232422,2.263556957244873,0.4834541082382202,0.0,-880.9999823570251,-867.0100569725037,-896.0000276565552,-878.1120777130127
CT00000133_thin.npy,6.25,0.0,-1.903198310174048,0.2856962978839874,2.165,flagged,tail_recovery,0.6522854566574097,0.9601055383682251,0.0,-916.9999957084656,-912.6685261726379,29.33487892150879,22.40673828125,17.50848960876465,1.9733467102050781,-922.9999780654907,-919.1219806671143,-931.9999814033508,-929.1189908981323
