arm,n,metric,bias,bias_lo,bias_hi,loa_lo,loa_hi,mae,mae_lo,mae_hi,rmse,ccc,ccc_lo,ccc_hi
Lanczos-3,50,laa950,-0.777,-1.039,-0.54,-2.611,1.057,0.778,0.533,1.047,1.209,0.2589,0.1971,0.3327
TVSRN,50,laa950,-0.901,-1.211,-0.612,-3.047,1.246,0.901,0.622,1.218,1.41,0.0683,0.0282,0.1353
CTHNet,50,laa950,-0.818,-1.11,-0.56,-2.834,1.198,0.819,0.559,1.116,1.306,0.1518,0.0944,0.2438
I3Net,50,laa950,-0.863,-1.172,-0.598,-2.961,1.235,0.864,0.591,1.164,1.367,0.0995,0.0501,0.1854
ours,50,laa950,-0.511,-0.715,-0.328,-1.884,0.863,0.539,0.369,0.741,0.861,0.5938,0.5009,0.6739
