CTHNet+流匹配(ours)_contrast,CTHNet+流匹配(ours)_mean,CTHNet+流匹配(ours)_peak,base_contrast,base_mean,base_peak,diameter_mm,ref_contrast,ref_mean,ref_peak,uid,up_contrast,up_mean,up_peak
390.876220703125,-128.12379455566406,398.75,389.31878662109375,-127.68121337890625,398.75,6.92,445.4356994628906,-73.5643081665039,526.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,216.16650390625,-221.05422973632812,466.88970947265625
712.614990234375,-235.385009765625,21.890625,726.0752563476562,-221.4247589111328,-22.734375,8.62,846.899658203125,-115.10031127929688,278.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411,492.5438232421875,-442.55926513671875,-149.02734375
391.82415771484375,-394.67584228515625,71.25,423.2271728515625,-367.2728271484375,4.58984375,6.26,406.9222717285156,-384.0777282714844,-33.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,184.1854248046875,-578.1129150390625,-402.1759033203125
649.816162109375,-143.683837890625,173.5,663.8988037109375,-132.10122680664062,107.5625,15.49,727.61767578125,-92.3823013305664,163.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,543.6524047851562,-213.51780700683594,85.56537628173828
508.79510498046875,-195.2049102783203,61.15625,532.5989379882812,-171.6510467529297,38.53125,10.94,568.2598266601562,-158.74017333984375,116.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,354.99066162109375,-312.14361572265625,-43.114654541015625
59.84709167480469,-242.1529083251953,-33.1875,65.2554931640625,-235.4945068359375,-33.1875,5.36,235.45037841796875,-128.54962158203125,47.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,31.97900390625,-286.3522644042969,-71.92108917236328
251.14315795898438,-455.1068420410156,-135.875,270.1764221191406,-446.8235778808594,-81.3125,5.26,321.9032287597656,-403.5967712402344,-39.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,175.332763671875,-514.1273193359375,-324.9182434082031
388.7234802246094,-348.0265197753906,13.2109375,387.0769348144531,-348.6730651855469,-4.21875,6.31,420.1054992675781,-301.8945007324219,5.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,208.9642333984375,-520.6961059570312,-364.0312805175781
610.3605346679688,-190.88946533203125,128.5,627.9400024414062,-177.55999755859375,117.5625,13.96,698.0397338867188,-142.96026611328125,274.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,488.6629333496094,-275.6225891113281,104.15840148925781
179.43267822265625,-631.5673217773438,-127.625,172.47100830078125,-637.0289916992188,-241.5,6.4,227.89776611328125,-597.1022338867188,-176.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,107.80328369140625,-693.4833374023438,-542.9044799804688
