arm,n,metric,bias,bias_lo,bias_hi,loa_lo,loa_hi,mae,mae_lo,mae_hi,rmse,ccc,ccc_lo,ccc_hi
Lanczos-3,50,laa910,-6.464,-7.734,-5.273,-15.287,2.36,6.464,5.243,7.709,7.851,0.5759,0.4185,0.6726
TVSRN,50,laa910,-7.268,-8.575,-5.925,-16.924,2.389,7.268,5.938,8.549,8.752,0.5046,0.3432,0.6151
CTHNet,50,laa910,-5.9,-6.949,-4.835,-13.545,1.745,5.9,4.866,6.985,7.051,0.6655,0.4973,0.7605
I3Net,50,laa910,-5.887,-6.925,-4.882,-13.25,1.476,5.887,4.85,6.896,6.963,0.6849,0.5045,0.785
ours,50,laa910,-2.565,-3.153,-1.969,-6.738,1.608,2.714,2.195,3.266,3.32,0.9222,0.8683,0.949
